annee,indicateur_fr,valeur,code_indicateur
1998,acces_electricite_national_pct,15.3,EG.ELC.ACCS.ZS
1999,acces_electricite_national_pct,16.0729999542236,EG.ELC.ACCS.ZS
2000,acces_electricite_national_pct,17.0,EG.ELC.ACCS.ZS
2001,acces_electricite_national_pct,19.6,EG.ELC.ACCS.ZS
2002,acces_electricite_national_pct,21.3,EG.ELC.ACCS.ZS
2003,acces_electricite_national_pct,23.0,EG.ELC.ACCS.ZS
2004,acces_electricite_national_pct,24.8,EG.ELC.ACCS.ZS
2005,acces_electricite_national_pct,26.5,EG.ELC.ACCS.ZS
2006,acces_electricite_national_pct,27.9,EG.ELC.ACCS.ZS
2007,acces_electricite_national_pct,30.0,EG.ELC.ACCS.ZS
2008,acces_electricite_national_pct,31.8,EG.ELC.ACCS.ZS
2009,acces_electricite_national_pct,33.7,EG.ELC.ACCS.ZS
2010,acces_electricite_national_pct,30.8,EG.ELC.ACCS.ZS
2011,acces_electricite_national_pct,39.7,EG.ELC.ACCS.ZS
2012,acces_electricite_national_pct,39.1,EG.ELC.ACCS.ZS
2013,acces_electricite_national_pct,41.0,EG.ELC.ACCS.ZS
2014,acces_electricite_national_pct,45.7,EG.ELC.ACCS.ZS
2015,acces_electricite_national_pct,44.7,EG.ELC.ACCS.ZS
2016,acces_electricite_national_pct,46.8,EG.ELC.ACCS.ZS
2017,acces_electricite_national_pct,48.0,EG.ELC.ACCS.ZS
2018,acces_electricite_national_pct,50.0,EG.ELC.ACCS.ZS
2019,acces_electricite_national_pct,52.5,EG.ELC.ACCS.ZS
2020,acces_electricite_national_pct,54.1,EG.ELC.ACCS.ZS
2021,acces_electricite_national_pct,55.7,EG.ELC.ACCS.ZS
2022,acces_electricite_national_pct,57.2,EG.ELC.ACCS.ZS
1998,acces_electricite_rural_pct,3.10279958670469,EG.ELC.ACCS.RU.ZS
1999,acces_electricite_rural_pct,3.13197689466699,EG.ELC.ACCS.RU.ZS
2000,acces_electricite_rural_pct,6.4,EG.ELC.ACCS.RU.ZS
2001,acces_electricite_rural_pct,5.4,EG.ELC.ACCS.RU.ZS
2002,acces_electricite_rural_pct,6.5,EG.ELC.ACCS.RU.ZS
2003,acces_electricite_rural_pct,7.6,EG.ELC.ACCS.RU.ZS
2004,acces_electricite_rural_pct,8.7,EG.ELC.ACCS.RU.ZS
2005,acces_electricite_rural_pct,9.8,EG.ELC.ACCS.RU.ZS
2006,acces_electricite_rural_pct,7.4,EG.ELC.ACCS.RU.ZS
2007,acces_electricite_rural_pct,11.8,EG.ELC.ACCS.RU.ZS
2008,acces_electricite_rural_pct,12.9,EG.ELC.ACCS.RU.ZS
2009,acces_electricite_rural_pct,13.9,EG.ELC.ACCS.RU.ZS
2010,acces_electricite_rural_pct,9.3,EG.ELC.ACCS.RU.ZS
2011,acces_electricite_rural_pct,16.3,EG.ELC.ACCS.RU.ZS
2012,acces_electricite_rural_pct,15.8,EG.ELC.ACCS.RU.ZS
2013,acces_electricite_rural_pct,17.1,EG.ELC.ACCS.RU.ZS
2014,acces_electricite_rural_pct,21.1,EG.ELC.ACCS.RU.ZS
2015,acces_electricite_rural_pct,19.8,EG.ELC.ACCS.RU.ZS
2016,acces_electricite_rural_pct,21.0,EG.ELC.ACCS.RU.ZS
2017,acces_electricite_rural_pct,19.5,EG.ELC.ACCS.RU.ZS
2018,acces_electricite_rural_pct,26.3,EG.ELC.ACCS.RU.ZS
2019,acces_electricite_rural_pct,23.9,EG.ELC.ACCS.RU.ZS
2020,acces_electricite_rural_pct,24.3,EG.ELC.ACCS.RU.ZS
2021,acces_electricite_rural_pct,24.7,EG.ELC.ACCS.RU.ZS
2022,acces_electricite_rural_pct,25.0,EG.ELC.ACCS.RU.ZS
1998,acces_electricite_urbain_pct,41.2,EG.ELC.ACCS.UR.ZS
1999,acces_electricite_urbain_pct,42.9995880126953,EG.ELC.ACCS.UR.ZS
2000,acces_electricite_urbain_pct,38.5,EG.ELC.ACCS.UR.ZS
2001,acces_electricite_urbain_pct,47.9,EG.ELC.ACCS.UR.ZS
2002,acces_electricite_urbain_pct,50.2,EG.ELC.ACCS.UR.ZS
2003,acces_electricite_urbain_pct,52.6,EG.ELC.ACCS.UR.ZS
2004,acces_electricite_urbain_pct,55.0,EG.ELC.ACCS.UR.ZS
2005,acces_electricite_urbain_pct,57.4,EG.ELC.ACCS.UR.ZS
2006,acces_electricite_urbain_pct,64.9,EG.ELC.ACCS.UR.ZS
2007,acces_electricite_urbain_pct,62.2,EG.ELC.ACCS.UR.ZS
2008,acces_electricite_urbain_pct,64.7,EG.ELC.ACCS.UR.ZS
2009,acces_electricite_urbain_pct,67.2,EG.ELC.ACCS.UR.ZS
2010,acces_electricite_urbain_pct,66.5,EG.ELC.ACCS.UR.ZS
2011,acces_electricite_urbain_pct,77.9,EG.ELC.ACCS.UR.ZS
2012,acces_electricite_urbain_pct,76.3,EG.ELC.ACCS.UR.ZS
2013,acces_electricite_urbain_pct,78.1,EG.ELC.ACCS.UR.ZS
