annee,indicateur_fr,valeur,code_indicateur
2000,acces_cuisson_propre_national_pct,0.3,EG.CFT.ACCS.ZS
2001,acces_cuisson_propre_national_pct,0.4,EG.CFT.ACCS.ZS
2002,acces_cuisson_propre_national_pct,0.5,EG.CFT.ACCS.ZS
2003,acces_cuisson_propre_national_pct,0.7,EG.CFT.ACCS.ZS
2004,acces_cuisson_propre_national_pct,0.9,EG.CFT.ACCS.ZS
2005,acces_cuisson_propre_national_pct,1.1,EG.CFT.ACCS.ZS
2006,acces_cuisson_propre_national_pct,1.5,EG.CFT.ACCS.ZS
2007,acces_cuisson_propre_national_pct,1.8,EG.CFT.ACCS.ZS
2008,acces_cuisson_propre_national_pct,2.3,EG.CFT.ACCS.ZS
2009,acces_cuisson_propre_national_pct,2.8,EG.CFT.ACCS.ZS
2010,acces_cuisson_propre_national_pct,3.3,EG.CFT.ACCS.ZS
2011,acces_cuisson_propre_national_pct,3.9,EG.CFT.ACCS.ZS
2012,acces_cuisson_propre_national_pct,4.5,EG.CFT.ACCS.ZS
2013,acces_cuisson_propre_national_pct,5.3,EG.CFT.ACCS.ZS
2014,acces_cuisson_propre_national_pct,6.0,EG.CFT.ACCS.ZS
2015,acces_cuisson_propre_national_pct,6.7,EG.CFT.ACCS.ZS
2016,acces_cuisson_propre_national_pct,7.6,EG.CFT.ACCS.ZS
2017,acces_cuisson_propre_national_pct,8.1,EG.CFT.ACCS.ZS
2018,acces_cuisson_propre_national_pct,9.0,EG.CFT.ACCS.ZS
2019,acces_cuisson_propre_national_pct,9.6,EG.CFT.ACCS.ZS
2020,acces_cuisson_propre_national_pct,10.4,EG.CFT.ACCS.ZS
2021,acces_cuisson_propre_national_pct,11.0,EG.CFT.ACCS.ZS
2022,acces_cuisson_propre_national_pct,11.9,EG.CFT.ACCS.ZS
2000,acces_cuisson_propre_rural_pct,0.0,EG.CFT.ACCS.RU.ZS
2001,acces_cuisson_propre_rural_pct,0.1,EG.CFT.ACCS.RU.ZS
2002,acces_cuisson_propre_rural_pct,0.1,EG.CFT.ACCS.RU.ZS
2003,acces_cuisson_propre_rural_pct,0.1,EG.CFT.ACCS.RU.ZS
2004,acces_cuisson_propre_rural_pct,0.2,EG.CFT.ACCS.RU.ZS
2005,acces_cuisson_propre_rural_pct,0.2,EG.CFT.ACCS.RU.ZS
2006,acces_cuisson_propre_rural_pct,0.3,EG.CFT.ACCS.RU.ZS
2007,acces_cuisson_propre_rural_pct,0.3,EG.CFT.ACCS.RU.ZS
2008,acces_cuisson_propre_rural_pct,0.4,EG.CFT.ACCS.RU.ZS
2009,acces_cuisson_propre_rural_pct,0.4,EG.CFT.ACCS.RU.ZS
2010,acces_cuisson_propre_rural_pct,0.5,EG.CFT.ACCS.RU.ZS
2011,acces_cuisson_propre_rural_pct,0.6,EG.CFT.ACCS.RU.ZS
2012,acces_cuisson_propre_rural_pct,0.6,EG.CFT.ACCS.RU.ZS
2013,acces_cuisson_propre_rural_pct,0.7,EG.CFT.ACCS.RU.ZS
2014,acces_cuisson_propre_rural_pct,0.7,EG.CFT.ACCS.RU.ZS
2015,acces_cuisson_propre_rural_pct,0.7,EG.CFT.ACCS.RU.ZS
2016,acces_cuisson_propre_rural_pct,0.8,EG.CFT.ACCS.RU.ZS
2017,acces_cuisson_propre_rural_pct,0.8,EG.CFT.ACCS.RU.ZS
2018,acces_cuisson_propre_rural_pct,0.8,EG.CFT.ACCS.RU.ZS
2019,acces_cuisson_propre_rural_pct,0.9,EG.CFT.ACCS.RU.ZS
2020,acces_cuisson_propre_rural_pct,0.8,EG.CFT.ACCS.RU.ZS
