annee,secteur_code,gaz_code,valeur_Gg,unite
2018,total,total,40843.34,Gg
2018,total,CO2,38783.08,Gg
2018,total,CH4,1926.89,Gg
2018,total,N2O,133.37,Gg
2018,energie,total,2517.92,Gg
2018,energie,CO2,2007.05,Gg
2018,energie,CH4,434.87,Gg
2018,energie,N2O,76.0,Gg
2018,procedes_industriels,total,2480.79,Gg
2018,procedes_industriels,CO2,1095.63,Gg
2018,procedes_industriels,CH4,1385.16,Gg
2018,procedes_industriels,N2O,0.0,Gg
2018,agriculture_foresterie,total,35830.45,Gg
2018,agriculture_foresterie,CO2,35677.83,Gg
2018,agriculture_foresterie,CH4,95.52,Gg
2018,agriculture_foresterie,N2O,57.1,Gg
2018,dechets,total,14.18,Gg
2018,dechets,CO2,2.57,Gg
2018,dechets,CH4,11.34,Gg
2018,dechets,N2O,0.27,Gg
