ville,annee,mois,type_temp,valeur_celsius,unite
Atakpamé,2013,1,temp_max,34,°C
Atakpamé,2013,1,temp_min,23,°C
Atakpamé,2013,2,temp_max,36,°C
Atakpamé,2013,2,temp_min,23,°C
Atakpamé,2013,3,temp_max,34,°C
Atakpamé,2013,3,temp_min,23,°C
Atakpamé,2013,4,temp_max,32,°C
Atakpamé,2013,4,temp_min,22,°C
Atakpamé,2013,5,temp_max,31,°C
Atakpamé,2013,5,temp_min,22,°C
Atakpamé,2013,6,temp_max,30,°C
Atakpamé,2013,6,temp_min,21,°C
Atakpamé,2013,7,temp_max,29,°C
Atakpamé,2013,7,temp_min,20,°C
Atakpamé,2013,8,temp_max,30,°C
Atakpamé,2013,8,temp_min,21,°C
Atakpamé,2013,9,temp_max,30,°C
Atakpamé,2013,9,temp_min,21,°C
Atakpamé,2013,10,temp_max,32,°C
Atakpamé,2013,10,temp_min,21,°C
Atakpamé,2013,11,temp_max,34,°C
Atakpamé,2013,11,temp_min,22,°C
Atakpamé,2013,12,temp_max,34,°C
Atakpamé,2013,12,temp_min,22,°C
Atakpamé,2014,1,temp_max,35,°C
Atakpamé,2014,1,temp_min,22,°C
Atakpamé,2014,2,temp_max,35,°C
Atakpamé,2014,2,temp_min,23,°C
Atakpamé,2014,3,temp_max,34,°C
Atakpamé,2014,3,temp_min,22,°C
Atakpamé,2014,4,temp_max,34,°C
Atakpamé,2014,4,temp_min,23,°C
Atakpamé,2014,5,temp_max,32,°C
Atakpamé,2014,5,temp_min,23,°C
Atakpamé,2014,6,temp_max,31,°C
Atakpamé,2014,6,temp_min,22,°C
Atakpamé,2014,7,temp_max,30,°C
Atakpamé,2014,7,temp_min,21,°C
Atakpamé,2014,8,temp_max,28,°C
Atakpamé,2014,8,temp_min,21,°C
Atakpamé,2014,9,temp_max,30,°C
Atakpamé,2014,9,temp_min,21,°C
Atakpamé,2014,10,temp_max,32,°C
Atakpamé,2014,10,temp_min,21,°C
Atakpamé,2014,11,temp_max,33,°C
Atakpamé,2014,11,temp_min,22,°C
Atakpamé,2014,12,temp_max,34,°C
Atakpamé,2014,12,temp_min,22,°C
Atakpamé,2015,1,temp_max,33,°C
Atakpamé,2015,1,temp_min,22,°C
Atakpamé,2015,2,temp_max,36,°C
Atakpamé,2015,2,temp_min,23,°C
Atakpamé,2015,3,temp_max,34,°C
Atakpamé,2015,3,temp_min,23,°C
Atakpamé,2015,4,temp_max,33,°C
Atakpamé,2015,4,temp_min,23,°C
Atakpamé,2015,5,temp_max,33,°C
Atakpamé,2015,5,temp_min,23,°C
Atakpamé,2015,6,temp_max,31,°C
Atakpamé,2015,6,temp_min,21,°C
Atakpamé,2015,7,temp_max,30,°C
Atakpamé,2015,7,temp_min,21,°C
Atakpamé,2015,8,temp_max,29,°C
Atakpamé,2015,8,temp_min,21,°C
Atakpamé,2015,9,temp_max,30,°C
Atakpamé,2015,9,temp_min,21,°C
Atakpamé,2015,10,temp_max,31,°C
Atakpamé,2015,10,temp_min,22,°C
Atakpamé,2015,11,temp_max,33,°C
Atakpamé,2015,11,temp_min,22,°C
Atakpamé,2015,12,temp_max,33,°C
Atakpamé,2015,12,temp_min,22,°C
Atakpamé,2016,1,temp_max,34,°C
Atakpamé,2016,1,temp_min,23,°C
Atakpamé,2016,2,temp_max,36,°C
Atakpamé,2016,2,temp_min,24,°C
Atakpamé,2016,3,temp_max,36,°C
Atakpamé,2016,3,temp_min,23,°C
Atakpamé,2016,4,temp_max,34,°C
Atakpamé,2016,4,temp_min,23,°C
Atakpamé,2016,5,temp_max,33,°C
Atakpamé,2016,5,temp_min,24,°C
Atakpamé,2016,6,temp_max,30,°C
Atakpamé,2016,6,temp_min,22,°C
Atakpamé,2016,7,temp_max,29,°C
Atakpamé,2016,7,temp_min,22,°C
Atakpamé,2016,8,temp_max,29,°C
Atakpamé,2016,8,temp_min,22,°C
Atakpamé,2016,9,temp_max,30,°C
Atakpamé,2016,9,temp_min,22,°C
Atakpamé,2016,10,temp_max,31,°C
Atakpamé,2016,10,temp_min,22,°C
Atakpamé,2016,11,temp_max,34,°C
Atakpamé,2016,11,temp_min,23,°C
Atakpamé,2016,12,temp_max,34,°C
Atakpamé,2016,12,temp_min,27,°C
Atakpamé,2017,1,temp_max,34,°C
Atakpamé,2017,1,temp_min,23,°C
Atakpamé,2017,2,temp_max,36,°C
Atakpamé,2017,2,temp_min,24,°C
Atakpamé,2017,3,temp_max,36,°C
Atakpamé,2017,3,temp_min,24,°C
Atakpamé,2017,4,temp_max,34,°C
Atakpamé,2017,4,temp_min,23,°C
Atakpamé,2017,5,temp_max,33,°C
Atakpamé,2017,5,temp_min,23,°C
Atakpamé,2017,6,temp_max,31,°C
Atakpamé,2017,6,temp_min,22,°C
Atakpamé,2017,7,temp_max,29,°C
Atakpamé,2017,7,temp_min,22,°C
Atakpamé,2017,8,temp_max,28,°C
Atakpamé,2017,8,temp_min,21,°C
Atakpamé,2017,9,temp_max,29,°C
Atakpamé,2017,9,temp_min,21,°C
